api,category,doc
rfloordiv,Binary operator functions,Get Integer division of dataframe and other  element-wise (binary operator rfloordiv).
rmod,Binary operator functions,Get Modulo of dataframe and other  element-wise (binary operator rmod).
rpow,Binary operator functions,Get Exponential power of dataframe and other  element-wise (binary operator rpow).
lt,Binary operator functions,Get Less than of dataframe and other  element-wise (binary operator lt).
gt,Binary operator functions,Get Greater than of dataframe and other  element-wise (binary operator gt).
le,Binary operator functions,Get Less than or equal to of dataframe and other  element-wise (binary operator le).
ge,Binary operator functions,Get Greater than or equal to of dataframe and other  element-wise (binary operator ge).
ne,Binary operator functions,Get Not equal to of dataframe and other  element-wise (binary operator ne).
eq,Binary operator functions,Get Equal to of dataframe and other  element-wise (binary operator eq).
combine,Binary operator functions,Perform column-wise combine with another DataFrame.
combine_first,Binary operator functions,Update null elements with value in the same location in other.
apply,Function application  GroupBy & window,Apply a function along an axis of the DataFrame.
applymap,Function application  GroupBy & window,Apply a function to a Dataframe elementwise.
pipe,Function application  GroupBy & window,Apply func(self  *args  **kwargs).
agg,Function application  GroupBy & window,Aggregate using one or more operations over the specified axis.
aggregate,Function application  GroupBy & window,Aggregate using one or more operations over the specified axis.
transform,Function application  GroupBy & window,Call func on self producing a DataFrame with transformed values.
groupby,Function application  GroupBy & window,Group DataFrame using a mapper or by a Series of columns.
rolling,Function application  GroupBy & window,Provide rolling window calculations.
expanding,Function application  GroupBy & window,Provide expanding transformations.
ewm,Function application  GroupBy & window,Provide exponential weighted (EW) functions.
abs,Computations / descriptive stats,Return a Series/DataFrame with absolute numeric value of each element.
all,Computations / descriptive stats,Return whether all elements are True  potentially over an axis.
any,Computations / descriptive stats,Return whether any element is True  potentially over an axis.
clip,Computations / descriptive stats,Trim values at input threshold(s).
corr,Computations / descriptive stats,Compute pairwise correlation of columns  excluding NA/null values.
corrwith,Computations / descriptive stats,Compute pairwise correlation.
count,Computations / descriptive stats,Count non-NA cells for each column or row.
cov,Computations / descriptive stats,Compute pairwise covariance of columns  excluding NA/null values.
cummax,Computations / descriptive stats,Return cumulative maximum over a DataFrame or Series axis.
cummin,Computations / descriptive stats,Return cumulative minimum over a DataFrame or Series axis.
cumprod,Computations / descriptive stats,Return cumulative product over a DataFrame or Series axis.
cumsum,Computations / descriptive stats,Return cumulative sum over a DataFrame or Series axis.
describe,Computations / descriptive stats,Generate descriptive statistics.
diff,Computations / descriptive stats,First discrete difference of element.
eval,Computations / descriptive stats,Evaluate a string describing operations on DataFrame columns.
kurt,Computations / descriptive stats,Return unbiased kurtosis over requested axis.
kurtosis,Computations / descriptive stats,Return unbiased kurtosis over requested axis.
mad,Computations / descriptive stats,Return the mean absolute deviation of the values over the requested axis.
max,Computations / descriptive stats,Return the maximum of the values over the requested axis.
mean,Computations / descriptive stats,Return the mean of the values over the requested axis.
median,Computations / descriptive stats,Return the median of the values over the requested axis.
min,Computations / descriptive stats,Return the minimum of the values over the requested axis.
mode,Computations / descriptive stats,Get the mode(s) of each element along the selected axis.
pct_change,Computations / descriptive stats,Percentage change between the current and a prior element.
prod,Computations / descriptive stats,Return the product of the values over the requested axis.
product,Computations / descriptive stats,Return the product of the values over the requested axis.
quantile,Computations / descriptive stats,Return values at the given quantile over requested axis.
rank,Computations / descriptive stats,Compute numerical data ranks (1 through n) along axis.
round,Computations / descriptive stats,Round a DataFrame to a variable number of decimal places.
sem,Computations / descriptive stats,Return unbiased standard error of the mean over requested axis.
skew,Computations / descriptive stats,Return unbiased skew over requested axis.
sum,Computations / descriptive stats,Return the sum of the values over the requested axis.
std,Computations / descriptive stats,Return sample standard deviation over requested axis.
var,Computations / descriptive stats,Return unbiased variance over requested axis.
nunique,Computations / descriptive stats,Count number of distinct elements in specified axis.
value_counts,Computations / descriptive stats,Return a Series containing counts of unique rows in the DataFrame.
add_prefix,Reindexing / selection / label manipulation,Prefix labels with string prefix.
add_suffix,Reindexing / selection / label manipulation,Suffix labels with string suffix.
align,Reindexing / selection / label manipulation,Align two objects on their axes with the specified join method.
at_time,Reindexing / selection / label manipulation,Select values at particular time of day (e.g.  9:30AM).
between_time,Reindexing / selection / label manipulation,Select values between particular times of the day (e.g.  9:00-9:30 AM).
drop,Reindexing / selection / label manipulation,Drop specified labels from rows or columns.
drop_duplicates,Reindexing / selection / label manipulation,Return DataFrame with duplicate rows removed.
duplicated,Reindexing / selection / label manipulation,Return boolean Series denoting duplicate rows.
equals,Reindexing / selection / label manipulation,Test whether two objects contain the same elements.
filter,Reindexing / selection / label manipulation,Subset the dataframe rows or columns according to the specified index labels.
first,Reindexing / selection / label manipulation,Select initial periods of time series data based on a date offset.
head,Reindexing / selection / label manipulation,Return the first n rows.
idxmax,Reindexing / selection / label manipulation,Return index of first occurrence of maximum over requested axis.
idxmin,Reindexing / selection / label manipulation,Return index of first occurrence of minimum over requested axis.
last,Reindexing / selection / label manipulation,Select final periods of time series data based on a date offset.
reindex,Reindexing / selection / label manipulation,Conform Series/DataFrame to new index with optional filling logic.
reindex_like,Reindexing / selection / label manipulation,Return an object with matching indices as other object.
rename,Reindexing / selection / label manipulation,Alter axes labels.
rename_axis,Reindexing / selection / label manipulation,Set the name of the axis for the index or columns.
reset_index,Reindexing / selection / label manipulation,Reset the index  or a level of it.
sample,Reindexing / selection / label manipulation,Return a random sample of items from an axis of object.
set_axis,Reindexing / selection / label manipulation,Assign desired index to given axis.
set_index,Reindexing / selection / label manipulation,Set the DataFrame index using existing columns.
tail,Reindexing / selection / label manipulation,Return the last n rows.
take,Reindexing / selection / label manipulation,Return the elements in the given positional indices along an axis.
truncate,Reindexing / selection / label manipulation,Truncate a Series or DataFrame before and after some index value.
backfill,Missing data handling,Synonym for DataFrame.fillna() with method='bfill'.
bfill,Missing data handling,Synonym for DataFrame.fillna() with method='bfill'.
dropna,Missing data handling,Remove missing values.
ffill,Missing data handling,Synonym for DataFrame.fillna() with method='ffill'.
fillna,Missing data handling,Fill NA/NaN values using the specified method.
interpolate,Missing data handling,Fill NaN values using an interpolation method.
isna,Missing data handling,Detect missing values.
isnull,Missing data handling,Detect missing values.
notna,Missing data handling,Detect existing (non-missing) values.
notnull,Missing data handling,Detect existing (non-missing) values.
pad,Missing data handling,Synonym for DataFrame.fillna() with method='ffill'.
replace,Missing data handling,Replace values given in to_replace with value.
droplevel,Reshaping  sorting  transposing,Return Series/DataFrame with requested index / column level(s) removed.
pivot,Reshaping  sorting  transposing,Return reshaped DataFrame organized by given index / column values.
pivot_table,Reshaping  sorting  transposing,Create a spreadsheet-style pivot table as a DataFrame.
reorder_levels,Reshaping  sorting  transposing,Rearrange index levels using input order.
sort_values,Reshaping  sorting  transposing,Sort by the values along either axis.
sort_index,Reshaping  sorting  transposing,Sort object by labels (along an axis).
nlargest,Reshaping  sorting  transposing,Return the first n rows ordered by columns in descending order.
nsmallest,Reshaping  sorting  transposing,Return the first n rows ordered by columns in ascending order.
swaplevel,Reshaping  sorting  transposing,Swap levels i and j in a MultiIndex.
stack,Reshaping  sorting  transposing,Stack the prescribed level(s) from columns to index.
unstack,Reshaping  sorting  transposing,Pivot a level of the (necessarily hierarchical) index labels.
swapaxes,Reshaping  sorting  transposing,Interchange axes and swap values axes appropriately.
melt,Reshaping  sorting  transposing,Unpivot a DataFrame from wide to long format  optionally leaving identifiers set.
explode,Reshaping  sorting  transposing,Transform each element of a list-like to a row  replicating index values.
squeeze,Reshaping  sorting  transposing,Squeeze 1 dimensional axis objects into scalars.
to_xarray,Reshaping  sorting  transposing,Return an xarray object from the pandas object.
transpose,Reshaping  sorting  transposing,Transpose index and columns.
append,Combining / comparing / joining / merging,Append rows of other to the end of caller  returning a new object.
assign,Combining / comparing / joining / merging,Assign new columns to a DataFrame.
compare,Combining / comparing / joining / merging,Compare to another DataFrame and show the differences.
join,Combining / comparing / joining / merging,Join columns of another DataFrame.
merge,Combining / comparing / joining / merging,Merge DataFrame or named Series objects with a database-style join.
update,Combining / comparing / joining / merging,Modify in place using non-NA values from another DataFrame.
asfreq,Time Series-related,Convert time series to specified frequency.
asof,Time Series-related,Return the last row(s) without any NaNs before where.
shift,Time Series-related,Shift index by desired number of periods with an optional time freq.
slice_shift,Time Series-related,(DEPRECATED) Equivalent to shift without copying data.
tshift,Time Series-related,(DEPRECATED) Shift the time index  using the indexs frequency if available.
first_valid_index,Time Series-related,Return index for first non-NA value or None  if no NA value is found.
last_valid_index,Time Series-related,Return index for last non-NA value or None  if no NA value is found.
resample,Time Series-related,Resample time-series data.
to_period,Time Series-related,Convert DataFrame from DatetimeIndex to PeriodIndex.
to_timestamp,Time Series-related,Cast to DatetimeIndex of timestamps  at beginning of period.
tz_convert,Time Series-related,Convert tz-aware axis to target time zone.
tz_localize,Time Series-related,Localize tz-naive index of a Series or DataFrame to target time zone.
Flags,Flags,Flags that apply to pandas objects.
attrs,Metadata,Dictionary of global attributes of this dataset.
plot,Plotting,DataFrame plotting accessor and method
plot.area,Plotting,Draw a stacked area plot.
plot.bar,Plotting,Vertical bar plot.
plot.barh,Plotting,Make a horizontal bar plot.
plot.box,Plotting,Make a box plot of the DataFrame columns.
plot.density,Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.
plot.hexbin,Plotting,Generate a hexagonal binning plot.
plot.hist,Plotting,Draw one histogram of the DataFrames columns.
plot.kde,Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.
plot.line,Plotting,Plot Series or DataFrame as lines.
plot.pie,Plotting,Generate a pie plot.
plot.scatter,Plotting,Create a scatter plot with varying marker point size and color.
boxplot,Plotting,Make a box plot from DataFrame columns.
hist,Plotting,Make a histogram of the DataFrames columns.
sparse.density,Sparse accessor,Ratio of non-sparse points to total (dense) data points.
sparse.from_spmatrix,Sparse accessor,Create a new DataFrame from a scipy sparse matrix.
sparse.to_coo,Sparse accessor,Return the contents of the frame as a sparse SciPy COO matrix.
sparse.to_dense,Sparse accessor,Convert a DataFrame with sparse values to dense.
from_dict,Serialization / IO / conversion,Construct DataFrame from dict of array-like or dicts.
from_records,Serialization / IO / conversion,Convert structured or record ndarray to DataFrame.
to_parquet,Serialization / IO / conversion,Write a DataFrame to the binary parquet format.
to_pickle,Serialization / IO / conversion,Pickle (serialize) object to file.
to_csv,Serialization / IO / conversion,Write object to a comma-separated values (csv) file.
to_hdf,Serialization / IO / conversion,Write the contained data to an HDF5 file using HDFStore.
to_sql,Serialization / IO / conversion,Write records stored in a DataFrame to a SQL database.
to_dict,Serialization / IO / conversion,Convert the DataFrame to a dictionary.
to_excel,Serialization / IO / conversion,Write object to an Excel sheet.
to_json,Serialization / IO / conversion,Convert the object to a JSON string.
to_html,Serialization / IO / conversion,Render a DataFrame as an HTML table.
to_feather,Serialization / IO / conversion,Write a DataFrame to the binary Feather format.
to_latex,Serialization / IO / conversion,Render object to a LaTeX tabular  longtable  or nested table/tabular.
to_stata,Serialization / IO / conversion,Export DataFrame object to Stata dta format.
to_gbq,Serialization / IO / conversion,Write a DataFrame to a Google BigQuery table.
to_records,Serialization / IO / conversion,Convert DataFrame to a NumPy record array.
to_string,Serialization / IO / conversion,Render a DataFrame to a console-friendly tabular output.
to_clipboard,Serialization / IO / conversion,Copy object to the system clipboard.
to_markdown,Serialization / IO / conversion,Print DataFrame in Markdown-friendly format.
style,Serialization / IO / conversion,Returns a Styler object.
array,Datetime data,Create an array.
Timestamp,Datetime data,Pandas replacement for python datetime.datetime object.
asm8,arrays,Return numpy datetime64 format in nanoseconds.
dayofweek,arrays,Return day of the week.
day_of_week,arrays,Return day of the week.
dayofyear,arrays,Return the day of the year.
day_of_year,arrays,Return the day of the year.
days_in_month,arrays,Return the number of days in the month.
daysinmonth,arrays,Return the number of days in the month.
is_leap_year,arrays,Return True if year is a leap year.
is_month_end,arrays,Return True if date is last day of month.
is_month_start,arrays,Return True if date is first day of month.
is_quarter_end,arrays,Return True if date is last day of the quarter.
is_quarter_start,arrays,Return True if date is first day of the quarter.
is_year_end,arrays,Return True if date is last day of the year.
is_year_start,arrays,Return True if date is first day of the year.
quarter,arrays,Return the quarter of the year.
tz,arrays,Alias for tzinfo.
week,arrays,Return the week number of the year.
weekofyear,arrays,Return the week number of the year.
astimezone,arrays,Convert tz-aware Timestamp to another time zone.
ceil,arrays,Return a new Timestamp ceiled to this resolution.
combine,arrays,Combine date  time into datetime with same date and time fields.
ctime,arrays,Return ctime() style string.
date,arrays,Return date object with same year  month and day.
day_name,arrays,Return the day name of the Timestamp with specified locale.
dst,arrays,Return self.tzinfo.dst(self).
floor,arrays,Return a new Timestamp floored to this resolution.
freqstr,arrays,Return the total number of days in the month.
fromordinal,arrays,Passed an ordinal  translate and convert to a ts.
fromtimestamp,arrays,Transform timestamp[  tz] to tzs local time from POSIX timestamp.
isocalendar,arrays,Return a 3-tuple containing ISO year  week number  and weekday.
isoformat,arrays,[sep] -> string in ISO 8601 format  YYYY-MM-DDT[HH[:MM[:SS[.mmm[uuu]]]]][+HH:MM].
isoweekday,arrays,Return the day of the week represented by the date.
month_name,arrays,Return the month name of the Timestamp with specified locale.
normalize,arrays,Normalize Timestamp to midnight  preserving tz information.
now,arrays,Return new Timestamp object representing current time local to tz.
replace,arrays,Implements datetime.replace  handles nanoseconds.
round,arrays,Round the Timestamp to the specified resolution.
strftime,arrays,Return a string representing the given POSIX timestamp controlled by an explicit format string.
strptime,arrays,Function is not implemented.
time,arrays,Return time object with same time but with tzinfo=None.
timestamp,arrays,Return POSIX timestamp as float.
timetuple,arrays,Return time tuple  compatible with time.localtime().
timetz,arrays,Return time object with same time and tzinfo.
to_datetime64,arrays,Return a numpy.datetime64 object with ns precision.
to_numpy,arrays,Convert the Timestamp to a NumPy datetime64.
to_julian_date,arrays,Convert TimeStamp to a Julian Date.
to_period,arrays,Return an period of which this timestamp is an observation.
to_pydatetime,arrays,Convert a Timestamp object to a native Python datetime object.
today,arrays,Return the current time in the local timezone.
toordinal,arrays,Return proleptic Gregorian ordinal.
tz_convert,arrays,Convert tz-aware Timestamp to another time zone.
tz_localize,arrays,Convert naive Timestamp to local time zone  or remove timezone from tz-aware Timestamp.
tzname,arrays,Return self.tzinfo.tzname(self).
utcfromtimestamp,arrays,Construct a naive UTC datetime from a POSIX timestamp.
utcnow,arrays,Return a new Timestamp representing UTC day and time.
utcoffset,arrays,Return self.tzinfo.utcoffset(self).
utctimetuple,arrays,Return UTC time tuple  compatible with time.localtime().
weekday,arrays,Return the day of the week represented by the date.
DatetimeArray,arrays,Pandas ExtensionArray for tz-naive or tz-aware datetime data.
DatetimeTZDtype,arrays,An ExtensionDtype for timezone-aware datetime data.
Timedelta,Timedelta data,Represents a duration  the difference between two dates or times.
asm8,arrays,Return a numpy timedelta64 array scalar view.
components,arrays,Return a components namedtuple-like.
days,arrays,Number of days.
delta,arrays,Return the timedelta in nanoseconds (ns)  for internal compatibility.
microseconds,arrays,Number of microseconds (>= 0 and less than 1 second).
nanoseconds,arrays,Return the number of nanoseconds (n)  where 0 <= n < 1 microsecond.
seconds,arrays,Number of seconds (>= 0 and less than 1 day).
view,arrays,Array view compatibility.
ceil,arrays,Return a new Timedelta ceiled to this resolution.
floor,arrays,Return a new Timedelta floored to this resolution.
isoformat,arrays,Format Timedelta as ISO 8601 Duration like P[n]Y[n]M[n]DT[n]H[n]M[n]S  where the [n] s are replaced by the values.
round,arrays,Round the Timedelta to the specified resolution.
to_pytimedelta,arrays,Convert a pandas Timedelta object into a python timedelta object.
to_timedelta64,arrays,Return a numpy.timedelta64 object with ns precision.
to_numpy,arrays,Convert the Timedelta to a NumPy timedelta64.
total_seconds,arrays,Total seconds in the duration.
TimedeltaArray,arrays,Pandas ExtensionArray for timedelta data.
Period,Period,Represents a period of time.
day,arrays,Get day of the month that a Period falls on.
dayofweek,arrays,Day of the week the period lies in  with Monday=0 and Sunday=6.
day_of_week,arrays,Day of the week the period lies in  with Monday=0 and Sunday=6.
dayofyear,arrays,Return the day of the year.
day_of_year,arrays,Return the day of the year.
days_in_month,arrays,Get the total number of days in the month that this period falls on.
daysinmonth,arrays,Get the total number of days of the month that the Period falls in.
hour,arrays,Get the hour of the day component of the Period.
minute,arrays,Get minute of the hour component of the Period.
qyear,arrays,Fiscal year the Period lies in according to its starting-quarter.
second,arrays,Get the second component of the Period.
start_time,arrays,Get the Timestamp for the start of the period.
week,arrays,Get the week of the year on the given Period.
weekday,arrays,Day of the week the period lies in  with Monday=0 and Sunday=6.
asfreq,arrays,Convert Period to desired frequency  at the start or end of the interval.
strftime,arrays,Returns the string representation of the Period  depending on the selected fmt.
to_timestamp,arrays,Return the Timestamp representation of the Period.
PeriodArray,arrays,Pandas ExtensionArray for storing Period data.
PeriodDtype,arrays,An ExtensionDtype for Period data.
Interval,Interval data,Immutable object implementing an Interval  a bounded slice-like interval.
closed,arrays,Whether the interval is closed on the left-side  right-side  both or neither.
closed_left,arrays,Check if the interval is closed on the left side.
closed_right,arrays,Check if the interval is closed on the right side.
is_empty,arrays,Indicates if an interval is empty  meaning it contains no points.
left,arrays,Left bound for the interval.
length,arrays,Return the length of the Interval.
mid,arrays,Return the midpoint of the Interval.
open_left,arrays,Check if the interval is open on the left side.
open_right,arrays,Check if the interval is open on the right side.
overlaps,arrays,Check whether two Interval objects overlap.
right,arrays,Right bound for the interval.
IntervalArray,arrays,Pandas array for interval data that are closed on the same side.
IntervalDtype,arrays,An ExtensionDtype for Interval data.
IntegerArray,Nullable integer,Array of integer (optional missing) values.
Int8Dtype,Nullable integer,An ExtensionDtype for int8 integer data.
Int16Dtype,Nullable integer,An ExtensionDtype for int16 integer data.
Int32Dtype,Nullable integer,An ExtensionDtype for int32 integer data.
Int64Dtype,Nullable integer,An ExtensionDtype for int64 integer data.
UInt8Dtype,Nullable integer,An ExtensionDtype for uint8 integer data.
UInt16Dtype,Nullable integer,An ExtensionDtype for uint16 integer data.
UInt32Dtype,Nullable integer,An ExtensionDtype for uint32 integer data.
UInt64Dtype,Nullable integer,An ExtensionDtype for uint64 integer data.
CategoricalDtype,Categorical data,Type for categorical data with the categories and orderedness.
categories,Categorical data,An Index containing the unique categories allowed.
ordered,Categorical data,Whether the categories have an ordered relationship.
Categorical,Categorical data,Represent a categorical variable in classic R / S-plus fashion.
from_codes,Categorical data,Make a Categorical type from codes and categories or dtype.
dtype,Categorical data,The CategoricalDtype for this instance.
categories,Categorical data,The categories of this categorical.
ordered,Categorical data,Whether the categories have an ordered relationship.
codes,Categorical data,The category codes of this categorical.
__array__,Categorical data,The numpy array interface.
SparseArray,Sparse data,An ExtensionArray for storing sparse data.
SparseDtype,Sparse data,Dtype for data stored in SparseArray.
StringArray,Text data,Extension array for string data.
ArrowStringArray,Text data,Extension array for string data in a pyarrow.ChunkedArray.
StringDtype,Text data,Extension dtype for string data.
BooleanArray,Boolean data with missing values,Array of boolean (True/False) data with missing values.
BooleanDtype,Boolean data with missing values,Extension dtype for boolean data.
Index,Index,Immutable sequence used for indexing and alignment.
values,index,Return an array representing the data in the Index.
is_monotonic,index,Alias for is_monotonic_increasing.
is_monotonic_increasing,index,Return if the index is monotonic increasing (only equal or increasing) values.
is_monotonic_decreasing,index,Return if the index is monotonic decreasing (only equal or decreasing) values.
is_unique,index,Return if the index has unique values.
has_duplicates,index,Check if the Index has duplicate values.
hasnans,index,Return if I have any nans; enables various perf speedups.
dtype,index,Return the dtype object of the underlying data.
inferred_type,index,Return a string of the type inferred from the values.
is_all_dates,index,Whether or not the index values only consist of dates.
shape,index,Return a tuple of the shape of the underlying data.
name,index,Return Index or MultiIndex name.
nbytes,index,Return the number of bytes in the underlying data.
ndim,index,Number of dimensions of the underlying data  by definition 1.
size,index,Return the number of elements in the underlying data.
T,index,Return the transpose  which is by definition self.
memory_usage,index,Memory usage of the values.
all,index,Return whether all elements are Truthy.
any,index,Return whether any element is Truthy.
argmin,index,Return int position of the smallest value in the Series.
argmax,index,Return int position of the largest value in the Series.
copy,index,Make a copy of this object.
delete,index,Make new Index with passed location(-s) deleted.
drop,index,Make new Index with passed list of labels deleted.
drop_duplicates,index,Return Index with duplicate values removed.
duplicated,index,Indicate duplicate index values.
equals,index,Determine if two Index object are equal.
factorize,index,Encode the object as an enumerated type or categorical variable.
identical,index,Similar to equals  but checks that object attributes and types are also equal.
insert,index,Make new Index inserting new item at location.
is_,index,More flexible  faster check like is but that works through views.
is_boolean,index,Check if the Index only consists of booleans.
is_categorical,index,Check if the Index holds categorical data.
is_floating,index,Check if the Index is a floating type.
is_integer,index,Check if the Index only consists of integers.
is_interval,index,Check if the Index holds Interval objects.
is_mixed,index,Check if the Index holds data with mixed data types.
is_numeric,index,Check if the Index only consists of numeric data.
is_object,index,Check if the Index is of the object dtype.
min,index,Return the minimum value of the Index.
max,index,Return the maximum value of the Index.
reindex,index,Create index with targets values.
rename,index,Alter Index or MultiIndex name.
repeat,index,Repeat elements of a Index.
where,index,Replace values where the condition is False.
take,index,Return a new Index of the values selected by the indices.
putmask,index,Return a new Index of the values set with the mask.
unique,index,Return unique values in the index.
nunique,index,Return number of unique elements in the object.
value_counts,index,Return a Series containing counts of unique values.
set_names,index,Set Index or MultiIndex name.
droplevel,index,Return index with requested level(s) removed.
fillna,index,Fill NA/NaN values with the specified value.
dropna,index,Return Index without NA/NaN values.
isna,index,Detect missing values.
notna,index,Detect existing (non-missing) values.
astype,index,Create an Index with values cast to dtypes.
item,index,Return the first element of the underlying data as a Python scalar.
map,index,Map values using input correspondence (a dict  Series  or function).
ravel,index,Return an ndarray of the flattened values of the underlying data.
to_list,index,Return a list of the values.
to_native_types,index,(DEPRECATED) Format specified values of self and return them.
to_series,index,Create a Series with both index and values equal to the index keys.
to_frame,index,Create a DataFrame with a column containing the Index.
argsort,index,Return the integer indices that would sort the index.
searchsorted,index,Find indices where elements should be inserted to maintain order.
sort_values,index,Return a sorted copy of the index.
shift,index,Shift index by desired number of time frequency increments.
append,index,Append a collection of Index options together.
join,index,Compute join_index and indexers to conform data structures to the new index.
intersection,index,Form the intersection of two Index objects.
union,index,Form the union of two Index objects.
difference,index,Return a new Index with elements of index not in other.
symmetric_difference,index,Compute the symmetric difference of two Index objects.
asof,index,Return the label from the index  or  if not present  the previous one.
asof_locs,index,Return the locations (indices) of labels in the index.
get_indexer,index,Compute indexer and mask for new index given the current index.
get_indexer_for,index,Guaranteed return of an indexer even when non-unique.
get_indexer_non_unique,index,Compute indexer and mask for new index given the current index.
get_level_values,index,Return an Index of values for requested level.
get_loc,index,Get integer location  slice or boolean mask for requested label.
get_slice_bound,index,Calculate slice bound that corresponds to given label.
get_value,index,Fast lookup of value from 1-dimensional ndarray.
isin,index,Return a boolean array where the index values are in values.
slice_indexer,index,Compute the slice indexer for input labels and step.
slice_locs,index,Compute slice locations for input labels.
RangeIndex,Numeric Index,Immutable Index implementing a monotonic integer range.
Int64Index,Numeric Index,Immutable sequence used for indexing and alignment.
UInt64Index,Numeric Index,Immutable sequence used for indexing and alignment.
Float64Index,Numeric Index,Immutable sequence used for indexing and alignment.
start,Numeric Index,The value of the start parameter (0 if this was not supplied).
stop,Numeric Index,The value of the stop parameter.
step,Numeric Index,The value of the step parameter (1 if this was not supplied).
from_range,Numeric Index,Create RangeIndex from a range object.
CategoricalIndex,CategoricalIndex,Index based on an underlying Categorical.
codes,index,The category codes of this categorical.
categories,index,The categories of this categorical.
ordered,index,Whether the categories have an ordered relationship.
rename_categories,index,Rename categories.
reorder_categories,index,Reorder categories as specified in new_categories.
add_categories,index,Add new categories.
remove_categories,index,Remove the specified categories.
remove_unused_categories,index,Remove categories which are not used.
set_categories,index,Set the categories to the specified new_categories.
as_ordered,index,Set the Categorical to be ordered.
as_unordered,index,Set the Categorical to be unordered.
map,index,Map values using input correspondence (a dict  Series  or function).
equals,index,Determine if two CategoricalIndex objects contain the same elements.
IntervalIndex,IntervalIndex,Immutable index of intervals that are closed on the same side.
from_arrays,index,Construct from two arrays defining the left and right bounds.
from_tuples,index,Construct an IntervalIndex from an array-like of tuples.
from_breaks,index,Construct an IntervalIndex from an array of splits.
closed,index,Whether the intervals are closed on the left-side  right-side  both or neither.
values,index,Return an array representing the data in the Index.
is_empty,index,Indicates if an interval is empty  meaning it contains no points.
is_non_overlapping_monotonic,index,Return True if the IntervalArray is non-overlapping (no Intervals share points) and is either monotonic increasing or monotonic decreasing  else False.
is_overlapping,index,Return True if the IntervalIndex has overlapping intervals  else False.
get_loc,index,Get integer location  slice or boolean mask for requested label.
get_indexer,index,Compute indexer and mask for new index given the current index.
set_closed,index,Return an IntervalArray identical to the current one  but closed on the specified side.
contains,index,Check elementwise if the Intervals contain the value.
overlaps,index,Check elementwise if an Interval overlaps the values in the IntervalArray.
to_tuples,index,Return an ndarray of tuples of the form (left  right).
MultiIndex,MultiIndex,A multi-level  or hierarchical  index object for pandas objects.
IndexSlice,MultiIndex,Create an object to more easily perform multi-index slicing.
from_arrays,index,Convert arrays to MultiIndex.
from_tuples,index,Convert list of tuples to MultiIndex.
from_product,index,Make a MultiIndex from the cartesian product of multiple iterables.
from_frame,index,Make a MultiIndex from a DataFrame.
names,index,Names of levels in MultiIndex.
nlevels,index,Integer number of levels in this MultiIndex.
levshape,index,A tuple with the length of each level.
dtypes,index,Return the dtypes as a Series for the underlying MultiIndex
set_levels,index,Set new levels on MultiIndex.
set_codes,index,Set new codes on MultiIndex.
to_flat_index,index,Convert a MultiIndex to an Index of Tuples containing the level values.
to_frame,index,Create a DataFrame with the levels of the MultiIndex as columns.
sortlevel,index,Sort MultiIndex at the requested level.
droplevel,index,Return index with requested level(s) removed.
swaplevel,index,Swap level i with level j.
reorder_levels,index,Rearrange levels using input order.
remove_unused_levels,index,Create new MultiIndex from current that removes unused levels.
get_loc,index,Get location for a label or a tuple of labels.
get_locs,index,Get location for a sequence of labels.
get_loc_level,index,Get location and sliced index for requested label(s)/level(s).
get_indexer,index,Compute indexer and mask for new index given the current index.
get_level_values,index,Return vector of label values for requested level.
DatetimeIndex,DatetimeIndex,Immutable ndarray-like of datetime64 data.
year,index,The year of the datetime.
month,index,The month as January=1  December=12.
day,index,The day of the datetime.
hour,index,The hours of the datetime.
minute,index,The minutes of the datetime.
second,index,The seconds of the datetime.
microsecond,index,The microseconds of the datetime.
nanosecond,index,The nanoseconds of the datetime.
date,index,Returns numpy array of python datetime.date objects (namely  the date part of Timestamps without timezone information).
time,index,Returns numpy array of datetime.time.
timetz,index,Returns numpy array of datetime.time also containing timezone information.
dayofyear,index,The ordinal day of the year.
day_of_year,index,The ordinal day of the year.
weekofyear,index,(DEPRECATED) The week ordinal of the year.
week,index,(DEPRECATED) The week ordinal of the year.
dayofweek,index,The day of the week with Monday=0  Sunday=6.
day_of_week,index,The day of the week with Monday=0  Sunday=6.
weekday,index,The day of the week with Monday=0  Sunday=6.
quarter,index,The quarter of the date.
tz,index,Return timezone  if any.
freq,index,Return the frequency object if it is set  otherwise None.
freqstr,index,Return the frequency object as a string if its set  otherwise None.
is_month_start,index,Indicates whether the date is the first day of the month.
is_month_end,index,Indicates whether the date is the last day of the month.
is_quarter_start,index,Indicator for whether the date is the first day of a quarter.
is_quarter_end,index,Indicator for whether the date is the last day of a quarter.
is_year_start,index,Indicate whether the date is the first day of a year.
is_year_end,index,Indicate whether the date is the last day of the year.
is_leap_year,index,Boolean indicator if the date belongs to a leap year.
inferred_freq,index,Tries to return a string representing a frequency guess  generated by infer_freq.
indexer_at_time,index,Return index locations of values at particular time of day (e.g.
indexer_between_time,index,Return index locations of values between particular times of day (e.g.  9:00-9:30AM).
normalize,index,Convert times to midnight.
strftime,index,Convert to Index using specified date_format.
snap,index,Snap time stamps to nearest occurring frequency.
tz_convert,index,Convert tz-aware Datetime Array/Index from one time zone to another.
tz_localize,index,Localize tz-naive Datetime Array/Index to tz-aware Datetime Array/Index.
round,index,Perform round operation on the data to the specified freq.
